tammi-helmi,Lielahden apteekki,"€42,99",apteekki
,LähiTapiola,"€19,44",vakuutukset
,Nordic Green Energy,"€11,02",sähkö
,DNA,"€43,74",puhelin
,Elisa,"€16,65",Internet-yhteys
,TKL,"€21,00",julkinen liikenne
,Joo Asunnot,"€75,99",huolto
,Amazon Web Services,"€0,56",IT-palvelut
,Insinööriliitto,"€34,75",ammattiliitto
,Heroku,"€6,29",IT-palvelut
,Perlego,"€12,00",kirjat
,Alarmy,"€2,89",IT-palvelut
helmi-maalis,LähiTapiola,"€23,80",vakuutukset
,Tampereen Sähköverkko,"€17,30",sähkö
,DNA Welho,"€37,99",Internet-yhteys
,Nordic Green Energy,"€8,44",sähkö
,DNA,"€43,97",puhelin
,Jehovan todistajat,"€20,00",lahjoitukset
,Elisa,"€16,65",Internet-yhteys
,Insinööriliitto,"€34,75",ammattiliitto
,Ropo Capital,"€14,00",perintä
,DNA Welho,"€13,35",suoratoisto
,Lielahden apteekki,"€14,84",apteekki
,TKL,"€10,00",julkinen liikenne
,Hetzner,"€2,33",IT-palvelut
,Perlego,"€12,00",kirjat
,Heroku,"€5,26",IT-palvelut
maalis-huhti,DNA,"€44,79",puhelin
,Elisa,"€7,08",elektroniikka
,ABC Prisma Lielahti,"€8,08",polttoaine
,Musti ja Mirri Lielahti,"€19,98",lemmikkitarvikkeet
,LastPass,"€34,52",IT-palvelut
,Alarmy,"€2,89",IT-palvelut
,Jehovan todistajat,"€20,00",lahjoitukset
,Freestyle,"€33,00",lahjoitukset
,Electrobike,"€34,00",pyörähuolto
,Hetzner,"€8,56",IT-palvelut
,TKL,"€10,00",julkinen liikenne
,Lielahden apteekki,"€17,02",apteekki
huhti-touko,Lielahden apteekki,"€21,16",apteekki
,Nordic Green Energy,"€9,60",sähkö
,DNA Welho,"€13,35",suoratoisto
,DNA,"€45,45",puhelin
,Gigantti,"€7,90",IT-palvelut
,Elisa,"€6,75",elektroniikka
,Tampereen Sähköverkko,"€32,82",sähkö
,Jehovan todistajat,"€20,00",lahjoitukset
,Virtue Map,"€28,99",hyvinvointi
,Sanoma Media,"€27,70",lehdet
,Insinööriliitto,"€34,75",ammattiliitto
touko-kesä,Nordic Green Energy,"€8,98",sähkö
,DNA Welho,"€13,35",suoratoisto
,DNA,"€44,61",puhelin
,Gigantti Lielahti,"€7,90",IT-palvelut
,Pohjantähti,"€20,46",vakuutukset
,Jehovan todistajat,"€20,00",lahjoitukset
,Alarmy,"€2,89",IT-palvelut
,Lielahden apteekki,"€15,11",apteekki
,LähiTapiola,"€19,43",vakuutukset
,Hetzner,"€8,56",IT-palvelut
,Yliopiston Apteekki,"€4,50",apteekki
,Alma Talent,"€7,90",lehdet
,Lielahden apteekki,"€17,69",apteekki
kesä-heinä,Elisa,"€6,75",elektroniikka
,Nordic Green Energy,"€9,13",sähkö
,DNA Welho,"€19,80",suoratoisto
,Sanoma Media,"€29,70",lehdet
,DNA,"€44,11",elektroniikka
,Gigantti Lielahti,"€7,90",IT-palvelut
,Lielahden apteekki,"€7,65",apteekki
,Hetzner,"€8,56",IT-palvelut
,Lielahden apteekki,"€4,50",apteekki
,Musti ja Mirri Lielahti,"€19,41",lemmikkitarvikkeet
,Adobe,"€24,79",IT-palvelut
,Alarmy,"€2,89",IT-palvelut
heinä-elo,Juvan apteekki,"6,29 €",apteekki
,Jehovan todistajat,"40,00 €",lahjoitukset
,Elisa,"13,50 €",elektroniikka
,Nordic Green Energy,"10,09 €",sähkö
,DNA Welho,"23,35 €",Internet-yhteys
,DNA,"44,45 €",puhelin
,Gigantti Lielahti,"7,90 €",IT-palvelut
,Freestyle,"33,00 €",lahjoitukset
,Tampereen Sähköverkko,"34,63 €",sähkö
,PSHP,"41,80 €",terveydenhuolto
,Insinööriliitto,"34,75 €",ammattiliitto
,Lielahden apteekki,"4,50 €",apteekki
,Adobe,"24,79 €",IT-palvelut
,Hetzner,"8,56 €",IT-palvelut
,Lempi apteekki,"4,34 €",apteekki
elo-syys,Intrum,"5,18 €",perintä
,LähiTapiola,"19,43 €",vakuutukset
,DNA Welho,"23,35 €",Internet-yhteys
,Nordic Green Energy,"8,83 €",sähkö
,DNA,"46,41 €",puhelin
,Gigantti Lielahti,"7,90 €",IT-palvelut
,Jehovan todistajat,"20,00 €",lahjoitukset
,Alarmy,"2,89 €",IT-palvelut
,Keskiö,"23,00 €",polkupyörän huolto
,Wolt,"9,99 €",take away
,GoMore,"39,20 €",auton vuokraus
,Lempi apteekki,"4,50 €",apteekki
,Lempi apteekki,"14,20 €",apteekki
,Hetzner,"8,56 €",IT-palvelut
syys-loka,Insinööriliitto,"34,75 €",ammattiliitto
,McAfee,"7,90 €",IT-palvelut
,Elisa,"6,77 €",elektroniikka
,Nordic Green Energy,"10,86 €",sähkö
,DNA Welho,"23,35 €",Internet-yhteys
,Hostingpalvelu,"15,00 €",IT-palvelut
,DNA,"49,43 €",puhelin
,McAfee,"7,90 €",IT-palvelut
,Jehovan todistajat,"20,00 €",lahjoitukset
,Tampereen kaupunki,"25,00 €",terveydenhoito
,Hostingpalvelu,"14,88 €",IT-palvelut
,Wolt,"9,99 €",take away
,Hetzner,"8,56 €",IT-palvelut
,Perlego,"12,00 €",kirjat
,taksi,"25,00 €",taksi
,Adobe,"24,79 €",IT-palvelut
,Wolt,"15,00 €",take away
,Symbolab,"2,71 €",IT-palvelut
,Ecster,"2,49 €",korko
loka-marras,Insinööriliitto,"34,75 €",ammattiliitto
,Tieteen Kuvalehti,"9,50 €",lehdet
,Tampereen Sähköverkko,"35,75 €",sähkö
,Nordic Green Energy,"9,67 €",sähkö
,DNA Welho,"23,35 €",Internet-yhteys
,DNA,"44,95 €",puhelin
,McAfee,"7,90 €",IT-palvelut
,Jehovan todistajat,"20,00 €",lahjoitukset
,Lielahden apteekki,"4,50 €",apteekki
,Suomen Asiakastieto,"14,90 €",luottokielto
,Symbolab,"8,05 €",IT-palvelut
,Wolt,"9,99 €",take away
,Perlego,"12,00 €",kirjat
,Hetzner,"8,56 €",IT-palvelut
,Adobe,"24,79 €",IT-palvelut
,Electrobike,"34,00 €",pyörähuolto
marras-joulu,Nordic Green Energy,"10,83 €",sähkö
,DNA Welho,"23,35 €",Internet-yhteys
,DNA,"44,94 €",puhelin
,McAfee,"7,90 €",IT-palvelut
,Insinööriliitto,"34,75 €",ammattiliitto
,Jehovan todistajat,"20,00 €",lahjoitukset
,Mind Medicine,"50,11 €",IT-palvelut
,Alarmy,"2,89 €",IT-palvelut
,Matkahuolto,"27,30 €",julkinen liikenne
,ePassi,"20,00 €",take away
,Matkahuolto,"24,50 €",julkinen liikenne
,Hetzner,"8,56 €",IT-palvelut
,Lielahden apteekki,"4,50 €",apteekki
joulu-tammi,Insinööriliitto,"34,75 €",ammattiliitto
,Alarmy,"2,89 €",IT-palvelut
,ePassi,"20,00 €",take away
,Lielahden apteekki,"23,58 €",apteekki
,Intrum,"61,20 €",perintä
,LähiTapiola,"19,20 €",vakuutukset
,DNA Welho,"23,35 €",Internet-yhteys
,Nordic Green Energy,"8,79 €",sähkö
,DNA,"44,03 €",puhelin
,McAfee,"7,90 €",IT-palvelut
,Nuorten Päihdekasvatus ry,"35,00 €",lahjoitukset
,Wolt,"9,99 €",take away
,Hetzner,"8,56 €",IT-palvelut
,Adobe,"24,79 €",IT-palvelut