1.7.-7.7.,,,,YHT.,Vko max
1.7.,K-Market Vellamonkatu,€6.77,ruokakauppa,€69.50,€80.00
,S-Market Hyhky,€26.94,ruokakauppa,JÄLJ.,
2.7.,Hese Tammela,€6.90,ulkona syöminen,€10.50,
,K-Market Haapalinna,€1.60,posti,,
,S-Market Hyhky,€14.74,ruokakauppa,,
3.7.,K-Market Winterinmutka,€12.55,ruokakauppa,,
,,,,,
8.7.-14.7.,,,,YHT.,Vko max
9.7.,Ravintola Vaski,€4.70,välipala,€103.55,€100.00
,McDonald's Hämeenkatu,€5.15,ulkona syöminen,JÄLJ.,
,S-Market Hyhky,€13.32,ruokakauppa,-€3.55,
10.7.,Rozerin Pizza & Kebab,€8.00,ruokaa kotiin,,
11.7.,K-Market Winterinmutka,€21.71,ruokakauppa,,
12.7.,Malabadi,€2.00,ulkona syöminen,,
,K-Market Vellamonkatu,€4.10,ruokakauppa,,
,jäätelökioski,€3.50,välipala,,
,S-Market Hyhky,€1.99,ruokakauppa,,
13.7.,K-Market Winterinmutka,€15.46,ruokakauppa,,
14.7.,S-Market Hyhky,€23.62,ruokakauppa,,
,,,,,
15.7.-21.7.,,,,YHT.,Vko max
,erotus,€3.55,erotus,€100.72,€100.00
15.7.,Malabadi,€2.00,ulkona syöminen,JÄLJ.,
16.7.,Rozerin Pizza & Kebab,€8.50,ruokaa kotiin,-€0.72,
17.7.,K-Market Winterinmutka,€23.50,ruokakauppa,,
18.7.,K-Market Winterinmutka,€16.41,ruokakauppa,,
19.7.,Malabadi,€2.00,ulkona syöminen,,
,R-Kioski Epilä,€1.50,muu,,
,K-Market Winterinmutka,€15.39,ruokakauppa,,
20.7.,K-Market Winterinmutka,€17.52,ruokakauppa,,
21.7.,S-Market Hyhky,€10.35,ruokakauppa,,
,,,,,
22.7.-28.7.,,,,YHT.,Vko max
,erotus,€0.72,erotus,€129.25,€100.00
22.7.,Tammelan apteekki,€4.99,apteekki,JÄLJ.,
,Sokos Herkku,€6.24,ruokakauppa,-€29.25,
,Sokos kioski,€3.10,paperitarvikkeet,,
,K-Market rautatieasema,€1.89,ruokakauppa,,
23.7.,K-Market Winterinmutka,€17.90,ruokakauppa,,
24.7.,McDonald's Hämeenkatu,€5.00,ulkona syöminen,,
,K-Market Winterinmutka,€12.55,ruokakauppa,,
25.7.,S-Market Hyhky,24.1,ruokakauppa,,
26.7.,S-Market Hyhky,4.43,ruokakauppa,,
,Malabadi,2,ulkona syöminen,,
27.7.,K-Market Winterinmutka,14.07,ruokakauppa,,
28.7.,K-Market Winterinmutka,3.48,ruokakauppa,,
,jäätelökioski,3.5,välipala,,
,S-Market Hyhky,13.94,ruokakauppa,,
,K-Market Winterinmutka,5.5,ruokakauppa,,
,Supermarket Westeri,5.84,ruokakauppa,,
,,,,,
29.7.-4.8.,,,,YHT.,Vko max
,erotus,€29.25,,€117.68,€100.00
29.7.,K-Market Vellamonkatu,€3.18,ruokakauppa,JÄLJ.,
,Pella's Cafe,€7.60,ulkona syöminen,-€17.68,
30.7.,S-Market Hyhky,€15.18,ruokakauppa,,
31.7.,K-Market Winterinmutka,€6.73,ruokakauppa,,
1.8.,S-Market Hyhky,€28.90,ruokakauppa,,
2.8.,K-Market Winterinmutka,€3.28,ruokakauppa,,
3.8.,Sale Hallila,€9.69,ruokakauppa,,
4.8.,S-Market Hyhky,€13.87,,,