6.5.-12.5.,,,,,
,erotus,-€8.83,erotus,YHT.,Vko max
6.5.,yliopiston ruokala,€7.95,ulkona syöminen,€83.28,€100.00
,CM Linnainmaa,€13.79,ruokakauppa,JÄLJ.,
7.5.,CM Linnainmaa,€9.29,ruokakauppa,€16.72,
,R-Kioski Linnainmaa,€4.50,välipala,,
8.5.,CM Linnainmaa,€16.80,ruokakauppa,,
,R-Kioski Linnainmaa,€3.30,välipala,,
9.5.,Kotipizza Linnainmaa,€9.40,ruokaa kotiin,,
11.5.,Prisma Linnainmaa,€27.08,ruokakauppa,,
,,,,,
13.-19.5.,,,,,
,erotus,-€16.72,,YHT.,Vko max
13.5.,K-Market Atala,€6.18,ruokakauppa,€59.09,€100.00
14.5.,Posti Tullintori,€21.50,posti,JÄLJ.,
,S-Market Pendoliino,€20.29,ruokakauppa,€40.91,
16.5.,CM Linnainmaa,€9.28,ruokakauppa,,
17.5.,Prisma Kaleva,€8.26,ruokakauppa,,
,Oksa Kaleva,€5.80,kahvit,,
,Tammelan apteekki,€4.50,apteekki,,
,,,,,
,,,,,
20.5.-26.5.,,,,YHT.,Vko max
20.5.,Prisma Linnainmaa,€17.95,ruokakauppa,€83.35,€100.00
,Oksa Linnainmaa,€5.70,kahvit,JÄLJ.,
,Kotipizza Linnainmaa,€9.40,ruokaa kotiin,€16.65,
22.5.,Kotipizza Linnainmaa,€5.10,ruokaa kotiin,,
23.5.,Prisma Linnainmaa,€7.07,ruokakauppa,,
24.5.,R-Kioski Tammela,€2.00,välipala,,
,Oksa Lielahti,€5.60,kahvit,,
,Rozerin pizza kebab,€8.50,ruokaa kotiin,,
25.5.,Leivon Leipomo kahvila,€5.90,kahvit,,
,CM Linnainmaa,€7.60,ruokakauppa,,
26.5.,CM Linnainmaa,€8.53,ruokakauppa,,
,,,,,
27.5.-2.6.,,,,YHT.,Vko max
,erotus,-€16.65,erotus,€101.99,€100.00
27.5.,Posti Linnainmaa,€1.80,posti,JÄLJ.,
,Prisma Linnainmaa,€8.17,ruokakauppa,-€1.99,
,Kotipizza Linnainmaa,€9.40,ruokaa kotiin,,
28.5.,Ravintola Vaski,€5.35,kahvit,,
,Yliopiston apteekki,€4.50,apteekki,,
,Ravintola Vaski,€4.70,ulkona syöminen,,
29.5.,Nattarin Kebab ym.,€15.30,ruokaa kotiin,,
30.5.,Prisma Linnainmaa,€8.43,ruokakauppa,,
,Prisma Linnainmaa,€10.99,ruokakauppa,,
,Hese Linnainmaa,€5.90,ulkona syöminen,,
31.5.,Eerikkilä,€3.00,välipala,,
,Citymarket Linnainmaa,€9.58,ruokakauppa,,
1.6.,Kotipizza Linnainmaa,€9.40,ruokaa kotiin,,
2.6.,Sale Leinola,€22.12,ruokakauppa,,