2.-8.9.,,,,YHT.,Vko max
,erotus,€3.37,erotus,€104.00,€100.00
2.9.,Kotipizza Pispala,€9.30,ruokaa kotiin,JÄLJ.,
3.9.,Jussinhannan Leipä,€4.60,kahvit,-€4.00,
,S-Market Hyhky,€21.06,ruokakauppa,,
5.9.,Pella's Cafe,€4.00,kahvit,,
,R-Kioski Epilä,€5.36,ruokakauppa,,
6.9.,S-Market Hyhky,€33.05,ruokakauppa,,
7.9.,Vesa's Burger,€8.30,ulkona syöminen,,
,?,€6.90,?,,
8.9.,K-Market Winterinmutka,€8.06,ruokakauppa,,
,,,,,
9.-15.9.,,,,,
,erotus,€4.00,erotus,YHT.,Vko max
9.9.,S-Market Hyhky,€14.76,ruokakauppa,€129.88,€100.00
,K-Market Winterinmutka,€10.59,ruokakauppa,JÄLJ.,
,Rozerin Pizza & Kebab,€10.40,ruokaa kotiin,-€29.88,
10.9.,Ravintola Vaski,€1.80,ulkona syöminen,,
,Ravintola Vaski,€0.61,välipala,,
11.9.,S-Market Hyhky,€19.98,ruokakauppa,,
,K-Market Winterinmutka,€3.98,ruokakauppa,,
,K-Market Winterinmutka,€7.78,ruokakauppa,,
12.9.,S-Market Hyhky,€4.98,ruokakauppa,,
13.9.,Malabadi,€2.00,ulkona syöminen,,
,K-Market Winterinmutka,€20.26,ruokakauppa,,
14.9.,Gopal,€3.01,ulkona syöminen,,
,S-Market Hyhky,€6.81,ruokakauppa,,
15.9.,VR ravintolavaunu,€4.00,kahvit,,
,S-Market Hyhky,€14.92,ruokakauppa,,
,,,,,
16.-22.9.,,,,YHT.,Vko max
,erotus,€29.88,erotus,€113.19,€100.00
17.9.,?,€3.00,?,JÄLJ.,
,Pella's Cafe,€6.00,kahvit,-€13.19,
,Pella's Cafe,€2.50,välipala,,
18.9.,K-Market WInterinmutka,€6.88,ruokakauppa,,
19.9.,S-Market Hyhky,€22.72,ruokakauppa,,
,K-Market WInterinmutka,€18.90,ruokakauppa,,
21.9.,S-Market Hyhky,€15.31,ruokakauppa,,
22.9.,K-Market WInterinmutka,€8.00,ruokakauppa,,